"subjectID" "sire" "dam" "sex" "generation" "phenotype" "genetic_origin" "batch"
"453" 414 17 144 "F" 1 1.236674 1 5
"454" 415 17 30 "M" 1 1.323344 1 5
"455" 416 17 120 "F" 1 -0.858367 1 5
"456" 417 17 150 "M" 1 0.647489 1 5
"457" 418 9 135 "F" 1 0.767634 1 5
"458" 419 9 101 "M" 1 -0.330607 1 5
"459" 420 9 142 "F" 1 -0.447519 1 5
"460" 421 9 94 "F" 1 1.370695 1 5
"461" 422 19 45 "M" 1 1.87837 1 5
"462" 423 19 148 "F" 1 -2.065554 1 5
"463" 424 19 133 "F" 1 -0.718171 1 5
"464" 425 19 90 "F" 1 1.128285 1 5
"465" 426 11 108 "F" 1 -0.638772 1 5
"466" 427 11 159 "M" 1 -0.115583 1 5
"467" 428 11 122 "M" 1 -0.007804 1 5
"468" 429 11 128 "M" 1 -0.516083 1 5
"469" 430 12 77 "F" 1 0.723828 1 5
"470" 431 12 126 "M" 1 1.105734 1 5
"471" 432 12 145 "M" 1 -0.150905 1 5
"472" 433 12 40 "M" 1 0.131431 1 5
"473" 434 1 153 "M" 1 0.01253 1 5
"474" 435 1 50 "F" 1 -0.377916 1 5
"475" 436 1 156 "F" 1 -0.275407 1 5
"476" 437 1 78 "M" 1 0.734971 1 5
"477" 438 5 110 "F" 1 0.037011 1 5
"478" 439 5 85 "F" 1 -1.374232 1 5
"479" 440 5 103 "F" 1 -1.032987 1 5
"480" 441 5 106 "M" 1 -0.299654 1 5
"481" 442 15 151 "F" 1 -2.071728 1 5
"482" 443 15 25 "F" 1 -1.716883 1 5
"483" 444 15 63 "F" 1 1.532714 1 5
"484" 445 15 130 "M" 1 -1.298228 1 5
"485" 446 10 138 "M" 1 -1.720428 1 5
"486" 447 10 146 "F" 1 0.760653 1 5
"487" 448 10 131 "M" 1 1.328723 1 5
"488" 449 10 121 "F" 1 -1.734392 1 5
"489" 450 7 102 "F" 1 -0.018813 1 5
"490" 451 7 118 "M" 1 1.377583 1 5
"491" 452 7 107 "F" 1 -0.516804 1 5
"492" 453 7 36 "M" 1 1.202114 1 5
"493" 454 3 160 "F" 1 -0.768415 1 5
"494" 455 3 143 "M" 1 -0.501848 1 5
"495" 456 3 129 "F" 1 -0.553526 1 5
"496" 457 3 115 "M" 1 0.858703 1 5
"497" 458 4 21 "M" 1 -0.592848 1 5
"498" 459 4 139 "F" 1 -0.622302 1 5
"499" 460 4 27 "M" 1 0.876945 1 5
"500" 461 4 127 "F" 1 0.038611 1 5
"501" 462 20 117 "M" 1 2.496216 1 5
"502" 463 20 111 "F" 1 -1.451531 1 5
"503" 464 20 75 "F" 1 -0.082693 1 5
"504" 465 20 38 "M" 1 -0.621172 1 5
"505" 466 2 154 "M" 1 -1.170813 1 5
"506" 467 2 105 "M" 1 0.090282 1 5
"507" 468 2 140 "M" 1 -0.1338 1 5
"508" 469 2 152 "F" 1 -0.230312 1 5
"509" 470 13 134 "M" 1 0.33551 1 5
"510" 471 13 53 "F" 1 -0.513787 1 5
"511" 472 13 41 "F" 1 -2.437712 1 5
"512" 473 13 109 "M" 1 -2.03494 1 5
"513" 474 6 157 "F" 1 0.881556 1 5
"514" 475 6 123 "M" 1 -1.459482 1 5
"515" 476 6 104 "M" 1 -2.687525 1 5
"516" 477 6 33 "M" 1 -0.593437 1 5
"517" 478 14 116 "F" 1 0.042384 1 5
"518" 479 14 113 "M" 1 0.142503 1 5
"519" 480 14 112 "F" 1 -1.343363 1 5
"520" 481 14 124 "F" 1 1.065456 1 6
"521" 482 422 114 "F" 2 0.107692 1 6
"522" 483 422 407 "F" 2 0.619617 1 6
"523" 484 422 409 "M" 2 2.723254 1 6
"524" 485 422 414 "F" 2 2.632025 1 6
"525" 486 415 421 "M" 2 -1.812108 1 6
"526" 487 415 149 "F" 2 -1.1405 1 6
"527" 488 415 137 "F" 2 1.454487 1 6
"528" 489 415 125 "F" 2 2.543 1 6
"529" 490 462 119 "M" 2 0.297114 1 6
"530" 491 462 161 "M" 2 -0.529451 1 6
"531" 492 462 30 "F" 2 1.689562 1 6
"532" 493 462 132 "F" 2 0.62848 1 6
"533" 494 18 158 "F" 2 0.234387 1 6
"534" 495 18 144 "M" 2 0.525377 1 6
"535" 496 18 425 "F" 2 -0.026128 1 6
"536" 497 18 405 "M" 2 1.462685 1 6
"537" 498 410 141 "M" 2 1.325433 1 6
"538" 499 410 418 "M" 2 0.430141 1 6
"539" 500 410 45 "F" 2 1.589052 1 6
"540" 501 410 147 "M" 2 0.575275 1 6
"541" 502 431 94 "M" 2 -0.008733 1 6
"542" 503 431 155 "F" 2 0.475002 1 6
"543" 504 431 430 "F" 2 0.172546 1 6
"544" 505 431 135 "F" 2 0.053121 1 6
"545" 506 408 150 "F" 2 0.174523 1 6
"546" 507 408 136 "M" 2 -0.452692 1 6
"547" 508 408 444 "M" 2 -0.619393 1 6
"548" 509 408 90 "M" 2 0.791518 1 6
"549" 510 417 402 "F" 2 1.260622 1 6
"550" 511 417 126 "F" 2 -1.303207 1 6
"551" 512 417 63 "F" 2 0.693118 1 6
"552" 513 417 101 "M" 2 -0.436208 1 6
"553" 514 17 142 "M" 2 -0.351609 1 6
"554" 515 17 77 "F" 2 -1.145267 1 6
"555" 516 17 78 "M" 2 0.735662 1 6
"556" 517 17 131 "F" 2 -0.019659 1 6
"557" 518 406 120 "F" 2 -0.479586 1 6
"558" 519 406 447 "M" 2 1.595546 1 6
"559" 520 406 122 "M" 2 1.420503 1 6
"560" 521 406 159 "M" 2 1.068823 1 6
"561" 522 9 40 "M" 2 0.546229 1 6
"562" 523 9 153 "M" 2 1.423044 1 6
"563" 524 9 146 "M" 2 -0.118285 1 6
"564" 525 9 133 "F" 2 -0.222769 1 6
"565" 526 12 110 "M" 2 -0.519646 1 6
"566" 527 12 145 "F" 2 0.372868 1 6
"567" 528 12 108 "M" 2 -0.846782 1 6
"568" 529 12 117 "F" 2 1.279999 1 6
"569" 530 8 118 "M" 2 0.123007 1 6
"570" 531 8 128 "M" 2 -0.254636 1 6
"571" 532 8 420 "F" 2 -0.326417 1 6
"572" 533 8 411 "M" 2 0.159174 1 6
"573" 534 19 156 "M" 2 1.643182 1 6
"574" 535 19 50 "M" 2 -0.629492 1 6
"575" 536 19 106 "F" 2 1.041467 1 6
"576" 537 19 36 "M" 2 0.51032 1 6
"577" 538 16 450 "F" 2 1.571436 1 6
"578" 539 16 416 "F" 2 0.796075 1 6
"579" 540 16 436 "M" 2 -0.289995 1 6
